,,,,,,,,,,,,,,,VALIDAZIONE CATEGORIE,,,,,,,,
FITTING,REDUCER,20SW200053,20SAP200053,DN 32 - DN 25,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908546,,,,,X,X,,,,,X,
FITTING,REDUCER,20SW200054,20SAP200054,DN 32 - DN 20,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908547,,,,,X,X,,,,,X,
FITTING,REDUCER,20SW200055,20SAP200055,DN 25 - DN 20,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908541,,,,,X,X,,,,,X,
FITTING,REDUCER,20SW200056,20SAP200056,DN 25 - DN 15,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908542,,,,,X,X,,,,,X,
FITTING,REDUCER,20SW200057,20SAP200057,DN 20 - DN 15,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908537,,,,,X,X,,,,,X,
FITTING,UNION,20SW200058,20SAP200058,DN 63,PP STD - PN10,Butt Welded / IR,UNION 3 PCS,#VALUE!,Pcs,GF (George Fischer),727518212,,,,,X,,,,,,X,
FITTING,UNION,20SW200059,20SAP200059,DN 50,PP STD - PN10,Butt Welded / IR,UNION 3 PCS,#VALUE!,Pcs,GF (George Fischer),727518511,,,,,X,,,,,,X,
FITTING,UNION,20SW200060,20SAP200060,DN 40,PP STD - PN10,Butt Welded / IR,UNION 3 PCS,#VALUE!,Pcs,GF (George Fischer),727518510,,,,,X,X,,,,,X,
FITTING,UNION,20SW200061,20SAP200061,DN 32,PP STD - PN10,Butt Welded / IR,UNION 3 PCS,#VALUE!,Pcs,GF (George Fischer),727518509,,,,,X,X,,,,,X,
FITTING,UNION,20SW200062,20SAP200062,DN 25,PP STD - PN10,Butt Welded / IR,UNION 3 PCS,#VALUE!,Pcs,GF (George Fischer),727518508,,,,,X,X,,,,,X,
FITTING,UNION,20SW200063,20SAP200063,DN 20,PP STD - PN10,Butt Welded / IR,UNION 3 PCS,#VALUE!,Pcs,GF (George Fischer),727518507,,,,,X,X,,,,,X,
FITTING,UNION,20SW200064,20SAP200064,DN 15,PP STD - PN10,Butt Welded / IR,UNION 3 PCS,#VALUE!,Pcs,GF (George Fischer),727518506,,,,,X,X,,,,,X,
